"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",2.2852605800023e-05,0.00114263029000115,0.575610261071129,-0.863070493099704,-1.6327178437005,199,"ENSG00000125870;ENSG00000166197;ENSG00000122565;ENSG00000111906;ENSG00000129084;ENSG00000126261;ENSG00000089009;ENSG00000124614;ENSG00000171490;ENSG00000154473;ENSG00000204568;ENSG00000188846;ENSG00000105202;ENSG00000103342;ENSG00000135486;ENSG00000115942;ENSG00000187109;ENSG00000163918;ENSG00000181163;ENSG00000077312;ENSG00000048162;ENSG00000106682;ENSG00000124767;ENSG00000163938;ENSG00000143436;ENSG00000065427;ENSG00000178741;ENSG00000084090;ENSG00000149273;ENSG00000137154;ENSG00000134001;ENSG00000132646;ENSG00000099341;ENSG00000109475;ENSG00000144381;ENSG00000115233;ENSG00000075914;ENSG00000106028;ENSG00000089157;ENSG00000108424;ENSG00000167088;ENSG00000108561;ENSG00000083845;ENSG00000090621;ENSG00000164109"
"HALLMARK_HYPOXIA",0.000996937713593481,0.024923442839837,0.45505986738723,0.841187652286234,1.54442656143692,169,"ENSG00000167772;ENSG00000100311;ENSG00000198959;ENSG00000130635;ENSG00000104419;ENSG00000112715;ENSG00000059804;ENSG00000120708;ENSG00000134107;ENSG00000124762;ENSG00000168209;ENSG00000113083;ENSG00000115548;ENSG00000134086;ENSG00000147852;ENSG00000147872;ENSG00000170525;ENSG00000146674;ENSG00000133805;ENSG00000111846;ENSG00000152256;ENSG00000131016;ENSG00000119630;ENSG00000079739;ENSG00000116285;ENSG00000104812;ENSG00000146242;ENSG00000111276"
"HALLMARK_MYC_TARGETS_V2",0.00201541982849123,0.0335903304748539,0.431707695803346,-0.915658322453066,-1.51692336663322,57,"ENSG00000076248;ENSG00000166197;ENSG00000122565;ENSG00000109084"
"HALLMARK_GLYCOLYSIS",0.0107288819012808,0.13411102376601,0.380730400722792,0.792151044178622,1.46933730922008,176,"ENSG00000167772;ENSG00000130635;ENSG00000112715;ENSG00000120708;ENSG00000129521;ENSG00000033100;ENSG00000168209;ENSG00000135318;ENSG00000147852;ENSG00000163435;ENSG00000183196;ENSG00000141526;ENSG00000146674;ENSG00000123989;ENSG00000149260;ENSG00000104812;ENSG00000125826;ENSG00000146242"
"HALLMARK_E2F_TARGETS",0.0138817165339381,0.138817165339381,0.380730400722792,-0.747764972095689,-1.41458805809713,199,"ENSG00000076248;ENSG00000166197;ENSG00000167005;ENSG00000141510;ENSG00000132383;ENSG00000164611;ENSG00000094916;ENSG00000145220;ENSG00000105011;ENSG00000173207;ENSG00000108106;ENSG00000103342;ENSG00000115942;ENSG00000187109;ENSG00000104320;ENSG00000139734;ENSG00000124789;ENSG00000071539;ENSG00000122966;ENSG00000157456;ENSG00000077152;ENSG00000100526;ENSG00000134001;ENSG00000100941;ENSG00000132646;ENSG00000147224;ENSG00000155561;ENSG00000196230;ENSG00000118655"
"HALLMARK_DNA_REPAIR",0.0251376943417624,0.192267152317976,0.352487857583619,-0.762565938311926,-1.37879118236943,145,"ENSG00000158825;ENSG00000167005;ENSG00000102978;ENSG00000141510"
"HALLMARK_UV_RESPONSE_UP",0.0269174013245166,0.192267152317976,0.352487857583619,0.793413958298176,1.42455801021383,131,"ENSG00000291237;ENSG00000221890;ENSG00000090339;ENSG00000166592;ENSG00000124702;ENSG00000140564;ENSG00000125845;ENSG00000171223;ENSG00000100906;ENSG00000131446;ENSG00000105173;ENSG00000161011;ENSG00000115694;ENSG00000072518;ENSG00000100664;ENSG00000178980;ENSG00000148229"
"HALLMARK_ANGIOGENESIS",0.0371264897906863,0.23204056119179,0.321775918075361,0.931487221107177,1.38317214955269,20,"ENSG00000112715;ENSG00000101384;ENSG00000099250;ENSG00000102265"
"HALLMARK_COAGULATION",0.0866807610993657,0.308719758064516,0.222056046145248,0.781307169522219,1.32373421300801,91,"ENSG00000100311;ENSG00000100985;ENSG00000243649;ENSG00000168487;ENSG00000115414;ENSG00000140564;ENSG00000123384;ENSG00000102265;ENSG00000197249;ENSG00000164733;ENSG00000149260;ENSG00000148180;ENSG00000137801"
"HALLMARK_IL2_STAT5_SIGNALING",0.0721442885771543,0.308719758064516,0.237793834423688,0.722422821957507,1.3175577549456,156,"ENSG00000198959;ENSG00000142156;ENSG00000104419;ENSG00000227507;ENSG00000059804;ENSG00000134107;ENSG00000077238;ENSG00000135318;ENSG00000099250;ENSG00000140564;ENSG00000147872;ENSG00000162496;ENSG00000125845;ENSG00000116729"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0615384615384615,0.308719758064516,0.271288554688953,0.841847784582874,1.38992719188493,64,"ENSG00000227507;ENSG00000170458;ENSG00000077238;ENSG00000105246;ENSG00000159128;ENSG00000145623;ENSG00000184557;ENSG00000137462;ENSG00000067182;ENSG00000105329;ENSG00000006327"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.072,0.308719758064516,0.237793834423688,0.720198427902976,1.32074757358214,159,"ENSG00000185215;ENSG00000243649;ENSG00000291237;ENSG00000124762;ENSG00000077238;ENSG00000090339;ENSG00000130589;ENSG00000138600;ENSG00000184557;ENSG00000119917;ENSG00000137275;ENSG00000100906;ENSG00000125826;ENSG00000101347;ENSG00000231925;ENSG00000173821;ENSG00000135114;ENSG00000142089"
"HALLMARK_KRAS_SIGNALING_UP",0.0748031496062992,0.308719758064516,0.231126709673834,0.732873265200877,1.32906127662572,141,"ENSG00000167772;ENSG00000100985;ENSG00000243649;ENSG00000071575;ENSG00000124107;ENSG00000131459;ENSG00000099250;ENSG00000100558;ENSG00000125845;ENSG00000146674;ENSG00000131016"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0987903225806452,0.308719758064516,0.20207170902116,-0.660742554095592,-1.24996297149449,199,"ENSG00000165806;ENSG00000062485;ENSG00000163541;ENSG00000166347;ENSG00000075239;ENSG00000131100;ENSG00000100575;ENSG00000112992;ENSG00000006695;ENSG00000135070;ENSG00000159199;ENSG00000204370;ENSG00000154518;ENSG00000105197;ENSG00000128626;ENSG00000156467;ENSG00000178741;ENSG00000060762;ENSG00000117410;ENSG00000189043;ENSG00000165637;ENSG00000110955;ENSG00000143153;ENSG00000167863;ENSG00000143252;ENSG00000005022;ENSG00000176340;ENSG00000152234;ENSG00000014919;ENSG00000154174;ENSG00000091483"
"HALLMARK_TGF_BETA_SIGNALING",0.0980392156862745,0.308719758064516,0.211400189384923,0.831822815066032,1.35495050727818,52,"ENSG00000101665;ENSG00000119681;ENSG00000124225;ENSG00000159128;ENSG00000140564;ENSG00000125845;ENSG00000171223;ENSG00000101966;ENSG00000168036;ENSG00000144136;ENSG00000018408;ENSG00000137801;ENSG00000105329"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0871287128712871,0.308719758064516,0.213927855492356,0.70577148456413,1.31617031211118,181,"ENSG00000185215;ENSG00000165029;ENSG00000160326;ENSG00000291237;ENSG00000112715;ENSG00000059804;ENSG00000134107;ENSG00000124762;ENSG00000124225;ENSG00000159128;ENSG00000090339;ENSG00000221869;ENSG00000158470;ENSG00000131459;ENSG00000101384;ENSG00000184557;ENSG00000137462;ENSG00000125845;ENSG00000143384;ENSG00000170525;ENSG00000171223;ENSG00000181649;ENSG00000121797;ENSG00000100906;ENSG00000163874;ENSG00000069399;ENSG00000277443;ENSG00000136048"
"HALLMARK_APOPTOSIS",0.108216432865731,0.318283626075681,0.191892240384838,0.712664402924865,1.28396045371478,137,"ENSG00000104081;ENSG00000101665;ENSG00000291237;ENSG00000170458;ENSG00000124762;ENSG00000060558;ENSG00000102265;ENSG00000125845;ENSG00000143384;ENSG00000068971;ENSG00000101966;ENSG00000168036;ENSG00000144136;ENSG00000148180;ENSG00000111276;ENSG00000006327;ENSG00000142089;ENSG00000161011"
